date,gnosis,polygon,avalanche,arbitrum,bnb,goerli,optimism,ethereum
2023-04-13,0.75,0.01,0.75,0.39,0.89,0.49,0.46,0.76
2023-04-14,0.25,0.01,0.75,0.65,0.82,0.48,0.43,0.68
2023-04-15,0.79,0.01,0.18,1.31,0.62,0.32,0.27,0.8
2023-04-16,0.78,0.01,0.31,0.79,0.52,0.61,0.18,0.86
2023-04-17,0.89,0.02,0.94,0.64,0.48,0.62,0.23,0.89
2023-04-18,0.77,0.0,1.88,0.44,0.68,0.38,0.4,0.55
2023-04-19,0.02,0.01,1.04,0.62,0.33,0.41,0.58,0.57
2023-04-20,0.21,0.01,0.18,0.41,0.51,0.64,0.48,0.45
2023-04-21,0.03,0.01,0.0,0.54,0.35,0.42,0.48,0.55
2023-04-22,0.28,0.01,0.0,0.49,0.61,0.81,0.66,0.71
2023-04-23,0.46,0.01,1.5,0.89,0.5,0.67,0.7,0.83
2023-04-24,0.62,0.01,0.62,0.64,0.28,0.42,0.28,1.1
2023-04-25,0.86,0.01,0.98,0.67,0.71,0.4,0.7,1.11
2023-04-26,0.64,0.01,1.56,0.58,0.72,0.71,0.62,0.7
2023-04-27,0.37,0.01,0.62,0.45,0.85,0.54,0.65,0.67
2023-04-28,0.17,0.01,0.62,0.74,0.69,0.48,0.24,0.55
2023-04-29,0.2,0.0,1.67,0.45,0.61,0.62,0.6,0.39
2023-04-30,0.52,0.0,1.0,0.55,1.31,0.9,0.4,0.88
2023-05-01,0.05,0.01,1.04,0.45,0.57,0.4,0.38,0.79
2023-05-02,0.25,0.01,1.07,0.74,0.62,0.6,0.19,1.31
2023-05-03,0.17,0.01,0.09,0.13,0.34,0.36,0.04,0.71
2023-05-04,0.3,0.01,0.04,0.38,0.1,0.42,0.29,0.76
2023-05-05,0.48,0.0,0.62,1.29,0.45,0.26,0.62,0.64
2023-05-06,0.44,0.0,0.0,0.42,0.41,1.17,0.21,0.67
2023-05-07,0.41,0.0,0.54,1.14,0.54,1.67,0.56,0.5
2023-05-08,0.48,0.0,0.34,0.58,0.78,0.54,0.0,0.61
2023-05-09,0.47,0.0,1.25,0.52,0.44,0.29,0.33,0.44
2023-05-10,0.38,0.0,0.42,0.49,0.59,0.34,0.57,0.71
2023-05-11,0.41,0.0,0.62,0.35,0.59,0.39,0.31,0.57
2023-05-12,0.41,0.01,0.54,0.02,0.33,0.26,0.33,0.46
2023-05-13,0.42,0.01,0.0,0.57,0.32,0.19,0.22,0.57
2023-05-14,0.27,0.0,0.0,0.02,0.43,0.17,0.42,0.61
2023-05-15,0.41,0.0,0.0,0.09,0.41,0.37,0.15,0.46
2023-05-16,0.38,0.0,0.01,0.09,0.28,0.26,0.25,0.6
2023-05-17,0.23,0.0,0.01,0.06,0.39,0.19,0.33,0.37
2023-05-18,0.36,0.0,0.0,0.05,0.49,0.19,0.22,0.33
2023-05-19,0.26,0.0,0.0,0.49,0.36,0.29,0.37,0.33
2023-05-20,0.42,0.0,0.01,0.23,0.43,0.42,0.4,0.52
2023-05-21,0.31,0.0,0.0,0.35,0.3,0.19,0.51,0.66
2023-05-22,0.67,0.0,0.01,0.6,0.35,0.37,0.2,0.59
2023-05-23,0.42,0.0,0.5,0.7,0.31,0.21,0.23,0.43
2023-05-24,0.17,0.0,0.0,0.4,0.3,0.33,0.26,0.53
2023-05-25,0.22,0.0,0.0,0.36,0.37,0.25,0.58,0.27
2023-05-26,0.36,0.0,0.01,0.17,0.5,0.14,0.59,0.49
2023-05-27,0.18,0.0,0.0,0.82,0.3,0.6,0.91,0.76
2023-05-28,0.32,0.0,0.04,1.02,0.48,0.68,0.51,0.9
2023-05-29,0.32,0.01,0.01,0.58,0.29,0.67,0.68,0.56
2023-05-30,0.06,0.0,0.0,0.56,0.39,0.33,0.62,0.56
2023-05-31,0.21,0.0,0.0,0.0,0.32,0.44,0.35,0.49
2023-06-01,0.32,0.0,0.0,0.1,0.36,0.29,0.12,0.62
2023-06-02,0.51,0.0,0.75,0.23,0.62,0.21,0.14,0.36
2023-06-03,0.23,0.0,1.25,0.21,0.42,0.29,0.17,0.46
2023-06-04,0.33,0.0,1.25,0.16,0.2,0.23,0.12,0.52
2023-06-05,0.38,0.0,0.28,0.14,0.27,0.33,0.14,0.37
2023-06-06,0.31,0.0,0.34,0.22,0.36,0.17,0.18,0.48
2023-06-07,0.14,0.0,0.0,0.01,0.11,0.18,0.03,0.49
2023-06-08,0.16,0.0,0.0,0.01,0.32,0.37,0.2,0.27
2023-06-09,0.38,0.0,0.0,0.05,0.13,0.24,0.29,0.67
2023-06-10,0.26,0.0,0.0,0.09,0.25,0.16,0.19,0.35
2023-06-11,0.12,0.0,0.1,0.12,0.41,0.36,0.43,0.7
2023-06-12,0.21,0.01,0.14,0.4,0.5,0.19,0.3,0.5
