blockchain,date,created_safes
arbitrum,2023-04-13,97
arbitrum,2023-04-14,93
arbitrum,2023-04-15,86
arbitrum,2023-04-16,68
arbitrum,2023-04-17,72
arbitrum,2023-04-18,71
arbitrum,2023-04-19,52
arbitrum,2023-04-20,88
arbitrum,2023-04-21,76
arbitrum,2023-04-22,66
arbitrum,2023-04-23,62
arbitrum,2023-04-24,61
arbitrum,2023-04-25,144
arbitrum,2023-04-26,88
arbitrum,2023-04-27,73
arbitrum,2023-04-28,76
arbitrum,2023-04-29,42
arbitrum,2023-04-30,52
arbitrum,2023-05-01,42
arbitrum,2023-05-02,49
arbitrum,2023-05-03,85
arbitrum,2023-05-04,73
arbitrum,2023-05-05,34
arbitrum,2023-05-06,39
arbitrum,2023-05-07,23
arbitrum,2023-05-08,39
arbitrum,2023-05-09,46
arbitrum,2023-05-10,61
arbitrum,2023-05-11,89
arbitrum,2023-05-12,1195
arbitrum,2023-05-13,50
arbitrum,2023-05-14,627
arbitrum,2023-05-15,262
arbitrum,2023-05-16,315
arbitrum,2023-05-17,543
arbitrum,2023-05-18,459
arbitrum,2023-05-19,43
arbitrum,2023-05-20,86
arbitrum,2023-05-21,36
arbitrum,2023-05-22,54
arbitrum,2023-05-23,41
arbitrum,2023-05-24,69
arbitrum,2023-05-25,63
arbitrum,2023-05-26,154
arbitrum,2023-05-27,26
arbitrum,2023-05-28,33
arbitrum,2023-05-29,39
arbitrum,2023-05-30,36
arbitrum,2023-05-31,1698
arbitrum,2023-06-01,293
arbitrum,2023-06-02,87
arbitrum,2023-06-03,79
arbitrum,2023-06-04,95
arbitrum,2023-06-05,99
arbitrum,2023-06-06,109
arbitrum,2023-06-07,1411
arbitrum,2023-06-08,939
arbitrum,2023-06-09,495
arbitrum,2023-06-10,208
arbitrum,2023-06-11,90
arbitrum,2023-06-12,97
avalanche_c,2023-04-13,5
avalanche_c,2023-04-14,5
avalanche_c,2023-04-15,7
avalanche_c,2023-04-16,4
avalanche_c,2023-04-17,4
avalanche_c,2023-04-18,8
avalanche_c,2023-04-19,6
avalanche_c,2023-04-20,7
avalanche_c,2023-04-21,2
avalanche_c,2023-04-22,3
avalanche_c,2023-04-23,5
avalanche_c,2023-04-24,6
avalanche_c,2023-04-25,14
avalanche_c,2023-04-26,12
avalanche_c,2023-04-27,6
avalanche_c,2023-04-28,8
avalanche_c,2023-04-29,6
avalanche_c,2023-04-30,5
avalanche_c,2023-05-01,6
avalanche_c,2023-05-02,7
avalanche_c,2023-05-03,111
avalanche_c,2023-05-04,154
avalanche_c,2023-05-05,8
avalanche_c,2023-05-06,2
avalanche_c,2023-05-07,7
avalanche_c,2023-05-08,11
avalanche_c,2023-05-09,1
avalanche_c,2023-05-10,9
avalanche_c,2023-05-11,10
avalanche_c,2023-05-12,14
avalanche_c,2023-05-13,1
avalanche_c,2023-05-14,413
avalanche_c,2023-05-15,1312
avalanche_c,2023-05-16,191
avalanche_c,2023-05-17,102
avalanche_c,2023-05-18,670
avalanche_c,2023-05-19,778
avalanche_c,2023-05-20,464
avalanche_c,2023-05-21,2
avalanche_c,2023-05-22,408
avalanche_c,2023-05-23,5
avalanche_c,2023-05-24,785
avalanche_c,2023-05-25,444
avalanche_c,2023-05-26,614
avalanche_c,2023-05-27,873
