blockchain,date,safe_txs
arbitrum,2023-04-14 00:00:00.000 UTC,566
arbitrum,2023-04-15 00:00:00.000 UTC,281
arbitrum,2023-04-16 00:00:00.000 UTC,517
arbitrum,2023-04-17 00:00:00.000 UTC,608
arbitrum,2023-04-18 00:00:00.000 UTC,606
arbitrum,2023-04-19 00:00:00.000 UTC,462
arbitrum,2023-04-20 00:00:00.000 UTC,527
arbitrum,2023-04-21 00:00:00.000 UTC,579
arbitrum,2023-04-22 00:00:00.000 UTC,441
arbitrum,2023-04-23 00:00:00.000 UTC,413
arbitrum,2023-04-24 00:00:00.000 UTC,479
arbitrum,2023-04-25 00:00:00.000 UTC,1262
arbitrum,2023-04-26 00:00:00.000 UTC,600
arbitrum,2023-04-27 00:00:00.000 UTC,447
arbitrum,2023-04-28 00:00:00.000 UTC,488
arbitrum,2023-04-29 00:00:00.000 UTC,234
arbitrum,2023-04-30 00:00:00.000 UTC,338
arbitrum,2023-05-01 00:00:00.000 UTC,373
arbitrum,2023-05-02 00:00:00.000 UTC,450
arbitrum,2023-05-03 00:00:00.000 UTC,491
arbitrum,2023-05-04 00:00:00.000 UTC,947
arbitrum,2023-05-05 00:00:00.000 UTC,758
arbitrum,2023-05-06 00:00:00.000 UTC,389
arbitrum,2023-05-07 00:00:00.000 UTC,321
arbitrum,2023-05-08 00:00:00.000 UTC,402
arbitrum,2023-05-09 00:00:00.000 UTC,400
arbitrum,2023-05-10 00:00:00.000 UTC,418
arbitrum,2023-05-11 00:00:00.000 UTC,396
arbitrum,2023-05-12 00:00:00.000 UTC,521
arbitrum,2023-05-13 00:00:00.000 UTC,398
arbitrum,2023-05-14 00:00:00.000 UTC,238
arbitrum,2023-05-15 00:00:00.000 UTC,728
arbitrum,2023-05-16 00:00:00.000 UTC,877
arbitrum,2023-05-17 00:00:00.000 UTC,942
arbitrum,2023-05-18 00:00:00.000 UTC,693
arbitrum,2023-05-19 00:00:00.000 UTC,977
arbitrum,2023-05-20 00:00:00.000 UTC,968
arbitrum,2023-05-21 00:00:00.000 UTC,673
arbitrum,2023-05-22 00:00:00.000 UTC,804
arbitrum,2023-05-23 00:00:00.000 UTC,778
arbitrum,2023-05-24 00:00:00.000 UTC,884
arbitrum,2023-05-25 00:00:00.000 UTC,857
arbitrum,2023-05-26 00:00:00.000 UTC,1976
arbitrum,2023-05-27 00:00:00.000 UTC,568
arbitrum,2023-05-28 00:00:00.000 UTC,785
arbitrum,2023-05-29 00:00:00.000 UTC,844
arbitrum,2023-05-30 00:00:00.000 UTC,676
arbitrum,2023-05-31 00:00:00.000 UTC,2045
arbitrum,2023-06-01 00:00:00.000 UTC,2943
arbitrum,2023-06-02 00:00:00.000 UTC,1053
arbitrum,2023-06-03 00:00:00.000 UTC,1838
arbitrum,2023-06-04 00:00:00.000 UTC,4241
arbitrum,2023-06-05 00:00:00.000 UTC,3225
arbitrum,2023-06-06 00:00:00.000 UTC,4015
arbitrum,2023-06-07 00:00:00.000 UTC,2744
arbitrum,2023-06-08 00:00:00.000 UTC,2819
arbitrum,2023-06-09 00:00:00.000 UTC,3743
arbitrum,2023-06-10 00:00:00.000 UTC,3871
arbitrum,2023-06-11 00:00:00.000 UTC,4138
arbitrum,2023-06-12 00:00:00.000 UTC,4817
arbitrum,2023-06-13 00:00:00.000 UTC,4370
arbitrum,2023-06-14 00:00:00.000 UTC,4343
arbitrum,2023-06-15 00:00:00.000 UTC,4170
arbitrum,2023-06-16 00:00:00.000 UTC,4152
arbitrum,2023-06-17 00:00:00.000 UTC,2591
arbitrum,2023-06-18 00:00:00.000 UTC,354
arbitrum,2023-06-19 00:00:00.000 UTC,666
arbitrum,2023-06-20 00:00:00.000 UTC,4037
arbitrum,2023-06-21 00:00:00.000 UTC,3623
arbitrum,2023-06-22 00:00:00.000 UTC,1189
arbitrum,2023-06-23 00:00:00.000 UTC,867
arbitrum,2023-06-24 00:00:00.000 UTC,803
arbitrum,2023-06-25 00:00:00.000 UTC,830
arbitrum,2023-06-26 00:00:00.000 UTC,759
arbitrum,2023-06-27 00:00:00.000 UTC,3304
arbitrum,2023-06-28 00:00:00.000 UTC,3781
arbitrum,2023-06-29 00:00:00.000 UTC,1620
arbitrum,2023-06-30 00:00:00.000 UTC,629
arbitrum,2023-07-01 00:00:00.000 UTC,1129
arbitrum,2023-07-02 00:00:00.000 UTC,4094
arbitrum,2023-07-03 00:00:00.000 UTC,2128
arbitrum,2023-07-04 00:00:00.000 UTC,1111
arbitrum,2023-07-05 00:00:00.000 UTC,1494
arbitrum,2023-07-06 00:00:00.000 UTC,1501
arbitrum,2023-07-07 00:00:00.000 UTC,847
arbitrum,2023-07-08 00:00:00.000 UTC,1478
arbitrum,2023-07-09 00:00:00.000 UTC,1036
arbitrum,2023-07-10 00:00:00.000 UTC,1482
arbitrum,2023-07-11 00:00:00.000 UTC,1647
arbitrum,2023-07-12 00:00:00.000 UTC,1600
arbitrum,2023-07-13 00:00:00.000 UTC,1479
arbitrum,2023-07-14 00:00:00.000 UTC,1479
arbitrum,2023-07-15 00:00:00.000 UTC,1422
arbitrum,2023-07-16 00:00:00.000 UTC,1414
arbitrum,2023-07-17 00:00:00.000 UTC,1001
arbitrum,2023-07-18 00:00:00.000 UTC,824
arbitrum,2023-07-19 00:00:00.000 UTC,1140
arbitrum,2023-07-20 00:00:00.000 UTC,1164
arbitrum,2023-07-21 00:00:00.000 UTC,511
arbitrum,2023-07-22 00:00:00.000 UTC,889
arbitrum,2023-07-23 00:00:00.000 UTC,1319
arbitrum,2023-07-24 00:00:00.000 UTC,487
arbitrum,2023-07-25 00:00:00.000 UTC,434
arbitrum,2023-07-26 00:00:00.000 UTC,527
arbitrum,2023-07-27 00:00:00.000 UTC,923
arbitrum,2023-07-28 00:00:00.000 UTC,472
arbitrum,2023-07-29 00:00:00.000 UTC,237
arbitrum,2023-07-30 00:00:00.000 UTC,318
arbitrum,2023-07-31 00:00:00.000 UTC,416
arbitrum,2023-08-01 00:00:00.000 UTC,453
arbitrum,2023-08-02 00:00:00.000 UTC,469
arbitrum,2023-08-03 00:00:00.000 UTC,568
arbitrum,2023-08-04 00:00:00.000 UTC,379
arbitrum,2023-08-05 00:00:00.000 UTC,310
